Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Currency conversion fee,Currency (Currency conversion fee)
Deposit,2024-09-28 09:39:28,,,,,3796cf87-0bac-4fed-bb17-578509fda8da,,,,,,,200.00,"GBP",,,,,,,,
Withdrawal,2024-10-02 19:53:58,,,,,83b023ac-1b17-4b0d-80b1-033f947457eb,,,,,,,-200.00,"GBP",,,,,,,,
Deposit,2024-11-01 12:02:43,,,,,57693a43-469f-4f61-a660-925e1444d0b9,,,,,,,666.27,"GBP",,,,,,,,
Withdrawal,2024-11-01 14:14:09,,,,,b600c72a-bbc0-4028-b2f2-7fb2c9ab1c43,,,,,,,-666.27,"GBP",,,,,,,,
Deposit,2024-11-06 18:16:51,,,,,fe8e9b6f-3c1b-4000-97b8-c229127883c7,,,,,,,500.00,"GBP",,,,,,,,
Withdrawal,2024-11-06 18:17:01,,,,,b6afa079-50e5-477d-96ce-c201bd6935e0,,,,,,,-500.00,"GBP",,,,,,,,
Deposit,2024-11-27 15:41:44,,,,,f50b59bb-b7fb-4cd1-8f23-9ae1e0060a4f,,,,,,,833.76,"GBP",,,,,,,,
Withdrawal,2024-11-27 15:42:17,,,,,49cc9be1-465c-4e91-849e-c274d6b35c54,,,,,,,-833.26,"GBP",,,,,,,,
Deposit,2024-11-27 15:42:32,,,,,c46195f0-98df-4260-8a4e-c155341a4c40,,,,,,,1719.52,"GBP",,,,,,,,
Market buy,2024-11-27 15:43:20.805,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF24153765702,0.3860100000,169.050000,USD,1.26659531,,"GBP",51.60,"GBP",,,,,,,0.08,"GBP"
Market buy,2024-11-27 15:43:20.833,US0231351067,AMZN,"Amazon",,EOF24153765707,0.1054060000,206.360000,USD,1.26683646,,"GBP",17.20,"GBP",,,,,,,0.03,"GBP"
